total_ps_budget,island_amount,pRef_origin_method,miner_algorith,population_size,ps_budget_per_run,mined_count,target_count,found_count,uses_custom_crowding_operator,runtime
continuous,2 5 10 20,GA SA uniform,MOEAD NSGAII NSGAIII,continuous,continuous,continuous,continuous,continuous,False True,continuous
,,,,,,,,,,
10000.0,5,SA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,65.4385895729065
10000.0,5,SA,NSGAIII,200.0,1000.0,75.0,30.0,0.0,True,75.5609347820282
10000.0,5,SA,NSGAIII,500.0,1000.0,162.0,30.0,0.0,True,61.40530204772949
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,48.47244048118591
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,53.44809365272522
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,False,48.95214653015137
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,54.02730202674866
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,54.72000288963318
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,50.165334701538086
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,6.0,False,24.951168060302734
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,7.0,False,24.633846759796143
10000.0,5,uniform,NSGAII,500.0,1000.0,177.0,30.0,5.0,False,29.901307821273804
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,6.0,True,31.83599328994751
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,6.0,True,29.795478105545044
10000.0,5,uniform,NSGAII,500.0,1000.0,169.0,30.0,3.0,True,30.555657148361206
10000.0,5,uniform,NSGAIII,100.0,1000.0,46.0,30.0,3.0,False,29.48482370376587
10000.0,5,uniform,NSGAIII,200.0,1000.0,49.0,30.0,1.0,False,23.36371088027954
10000.0,5,uniform,NSGAIII,500.0,1000.0,41.0,30.0,1.0,False,29.249993801116943
10000.0,5,uniform,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,28.181984424591064
10000.0,5,uniform,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,25.15586543083191
10000.0,5,uniform,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,27.768455266952515
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,50.995854139328
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,48.40405774116516
10000.0,5,uniform,MOEAD,500.0,1000.0,247.0,30.0,1.0,False,53.51618838310242
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,1.0,True,60.5409677028656
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,1.0,True,53.97338151931763
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,2.0,True,62.72679591178894
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,8.0,False,65.53891372680664
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,3.0,False,64.16398692131042
10000.0,5,uniform,NSGAII,500.0,1000.0,187.0,30.0,4.0,False,65.05695056915283
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,4.0,True,67.62321758270264
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,3.0,True,61.5709547996521
10000.0,5,uniform,NSGAII,500.0,1000.0,150.0,30.0,2.0,True,61.7065749168396
10000.0,5,uniform,NSGAIII,100.0,1000.0,47.0,30.0,0.0,False,62.06630206108093
10000.0,5,uniform,NSGAIII,200.0,1000.0,51.0,30.0,3.0,False,51.568105697631836
10000.0,5,uniform,NSGAIII,500.0,1000.0,39.0,30.0,1.0,False,53.76115703582764
10000.0,5,uniform,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,50.76911401748657
10000.0,5,uniform,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,47.12364387512207
10000.0,5,uniform,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,46.368557929992676
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,64.61649870872498
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,4.0,False,53.69749689102173
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,4.0,False,45.134626626968384
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,67.86553716659546
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,3.0,True,70.39335513114929
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,4.0,True,80.95664811134338
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,7.0,False,140.80619502067566
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,5.0,False,134.32851767539978
10000.0,5,uniform,NSGAII,500.0,1000.0,162.0,30.0,4.0,False,142.3433554172516
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,7.0,True,138.9293692111969
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,5.0,True,137.15136742591858
10000.0,5,uniform,NSGAII,500.0,1000.0,158.0,30.0,5.0,True,136.37259340286255
10000.0,5,uniform,NSGAIII,100.0,1000.0,48.0,30.0,1.0,False,145.6410050392151
10000.0,5,uniform,NSGAIII,200.0,1000.0,45.0,30.0,2.0,False,138.12247967720032
10000.0,5,uniform,NSGAIII,500.0,1000.0,46.0,30.0,1.0,False,135.3597550392151
10000.0,5,uniform,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,133.56790494918823
10000.0,5,uniform,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,126.86238932609558
10000.0,5,uniform,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,120.06844997406006
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,143.95701360702515
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,3.0,False,144.6452977657318
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,2.0,False,130.01218438148499
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,1.0,True,143.22365713119507
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,1.0,True,157.8320415019989
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,6.0,True,147.26384472846985
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,2.0,False,32.319947957992554
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,2.0,False,28.116784811019897
10000.0,5,GA,NSGAII,500.0,1000.0,132.0,30.0,3.0,False,27.804356813430786
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,2.0,True,30.06077003479004
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,3.0,True,26.88696002960205
10000.0,5,GA,NSGAII,500.0,1000.0,135.0,30.0,1.0,True,22.898988485336304
10000.0,5,GA,NSGAIII,100.0,1000.0,41.0,30.0,1.0,False,28.80599069595337
10000.0,5,GA,NSGAIII,200.0,1000.0,34.0,30.0,0.0,False,27.82807683944702
10000.0,5,GA,NSGAIII,500.0,1000.0,35.0,30.0,1.0,False,26.093183994293213
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,31.8118634223938
10000.0,5,GA,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,28.445939779281616
10000.0,5,GA,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,29.489150524139404
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,1.0,False,50.94838523864746
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,51.493173122406006
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,1.0,False,55.14782118797302
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,53.575110912323
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,1.0,True,56.0956757068634
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,1.0,True,56.547200441360474
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,0.0,False,62.74867129325867
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,0.0,False,63.330402135849
10000.0,5,GA,NSGAII,500.0,1000.0,120.0,30.0,1.0,False,43.7714729309082
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,4.0,True,56.80313587188721
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,1.0,True,40.706018686294556
10000.0,5,GA,NSGAII,500.0,1000.0,114.0,30.0,2.0,True,48.077885150909424
10000.0,5,GA,NSGAIII,100.0,1000.0,46.0,30.0,3.0,False,54.120837926864624
10000.0,5,GA,NSGAIII,200.0,1000.0,40.0,30.0,2.0,False,43.41273784637451
10000.0,5,GA,NSGAIII,500.0,1000.0,37.0,30.0,0.0,False,45.859700441360474
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,47.49344754219055
10000.0,5,GA,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,41.24296593666077
10000.0,5,GA,NSGAIII,500.0,1000.0,187.0,30.0,0.0,True,44.31637263298035
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,61.055845975875854
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,53.30290722846985
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,0.0,False,54.32345724105835
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,52.38114261627197
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,58.46437191963196
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,56.31544494628906
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,3.0,False,122.5806736946106
10000.0,5,GA,NSGAII,200.0,1000.0,87.0,30.0,3.0,False,91.60110259056091
10000.0,5,GA,NSGAII,500.0,1000.0,109.0,30.0,1.0,False,82.07720613479614
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,4.0,True,115.62507772445679
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,1.0,True,87.56397747993469
10000.0,5,GA,NSGAII,500.0,1000.0,104.0,30.0,1.0,True,71.19225406646729
10000.0,5,GA,NSGAIII,100.0,1000.0,41.0,30.0,0.0,False,69.22539067268372
10000.0,5,GA,NSGAIII,200.0,1000.0,36.0,30.0,0.0,False,51.25035095214844
10000.0,5,GA,NSGAIII,500.0,1000.0,33.0,30.0,0.0,False,50.27203893661499
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,67.83963370323181
10000.0,5,GA,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,48.69439196586609
10000.0,5,GA,NSGAIII,500.0,1000.0,182.0,30.0,0.0,True,48.753880739212036
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,53.8456335067749
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,52.57681918144226
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,0.0,False,54.51403212547302
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,50.73880982398987
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,57.14184069633484
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,58.92181086540222
10000.0,5,SA,NSGAII,100.0,1000.0,50.0,30.0,0.0,False,8.478806257247925
10000.0,5,SA,NSGAII,200.0,1000.0,82.0,30.0,0.0,False,6.658626079559326
10000.0,5,SA,NSGAII,500.0,1000.0,72.0,30.0,0.0,False,7.431626319885254
10000.0,5,SA,NSGAII,100.0,1000.0,50.0,30.0,0.0,True,7.227850914001465
10000.0,5,SA,NSGAII,200.0,1000.0,82.0,30.0,0.0,True,8.125311136245728
10000.0,5,SA,NSGAII,500.0,1000.0,74.0,30.0,0.0,True,6.965399265289307
10000.0,5,SA,NSGAIII,100.0,1000.0,38.0,30.0,0.0,False,7.849313259124756
10000.0,5,SA,NSGAIII,200.0,1000.0,28.0,30.0,0.0,False,5.363422393798828
