kind,depth,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp,ps_budget,ps_population,avoid_ancestors,metrics
naive,5,GC_L,PSO,10000,107.76152054848302,6.949023421295753,0.8087907513850333,0.8088780285886997,,,,,
naive,2,BT,GA,10000,99.09656030253845,6.6570979607672305,0.6280758892388563,0.6280763730916691,,,,,
naive,3,BT,GA,10000,60.354326268485416,5.500707603439684,0.7734812483958703,0.7736856147183848,,,,,
naive,4,BT,GA,10000,43.254178384939955,4.4853466599073375,0.8376606434833986,0.837677933712847,,,,,
naive,5,BT,GA,10000,32.54865587084041,3.8973782122929213,0.8778400596925391,0.8778671732445317,,,,,
naive,2,BT,uniform,10000,28.709733779034227,4.25057936520927,0.0911707049626711,0.09160148751785002,,,,,
naive,3,BT,uniform,10000,27.808138108666313,4.17672667208218,0.1197114279040854,0.12002270373892654,,,,,
naive,4,BT,uniform,10000,27.317873411700596,4.155178695037256,0.13523114405172953,0.13542412155094696,,,,,
naive,5,BT,uniform,10000,26.265459709811225,4.066013137713775,0.16854613088292814,0.1686747695884867,,,,,
naive,2,BT,SA,10000,47.96702645188315,5.234993863498437,0.7330864494527486,0.7331169382603195,,,,,
naive,3,BT,SA,10000,30.398010695161144,4.260386121118834,0.8308496155716935,0.8312793413086158,,,,,
naive,4,BT,SA,10000,19.64548623002809,3.3489124930227043,0.8906822692637836,0.8907285474956754,,,,,
naive,5,BT,SA,10000,12.099876760904706,2.576017235148301,0.9326699754741529,0.9326872604775431,,,,,
naive,2,BT,Tabu,10000,27.55250394342976,4.176744045094389,0.1881485301103869,0.18819665259460028,,,,,
naive,3,BT,Tabu,10000,25.738788181873282,4.0111992945692325,0.24159078022329228,0.24160789481158262,,,,,
naive,4,BT,Tabu,10000,22.672882783722823,3.761343489058971,0.3319295679117519,0.33195536243883894,,,,,
naive,5,BT,Tabu,10000,18.98378245020641,3.4129329971393183,0.440631177554376,0.44066685903213165,,,,,
naive,2,BT,PSO,10000,99.09656030253826,6.6570979607672855,0.628075889238857,0.6280763730916699,,,,,
naive,3,BT,PSO,10000,60.35432626848544,5.5007076034396665,0.7734812483958702,0.7736856147183844,,,,,
naive,4,BT,PSO,10000,43.25417838493981,4.4853466599073455,0.8376606434833992,0.8376779337128477,,,,,
naive,5,BT,PSO,10000,32.54865587084036,3.897378212292934,0.8778400596925393,0.8778671732445318,,,,,
naive,2,SAT_S,GA,10000,7.73494778842712,2.1730144755466325,0.15037098608420063,0.15129961629253008,,,,,
naive,3,SAT_S,GA,10000,6.815786958328559,1.9890032397699446,0.25133426742335907,0.25266770793446625,,,,,
naive,4,SAT_S,GA,10000,6.251237633901069,1.90430342305124,0.31334599638910765,0.31395905242128064,,,,,
naive,5,SAT_S,GA,10000,5.25171802000461,1.763188336405386,0.4231361187238617,0.42374597560844884,,,,,
naive,2,SAT_S,uniform,10000,10.223917634590032,2.5427437057854796,0.2412170030251899,0.24145338575918884,,,,,
naive,3,SAT_S,uniform,10000,8.867646156056127,2.379998010811187,0.34187467398604166,0.3420139249977209,,,,,
naive,4,SAT_S,uniform,10000,7.67722995808968,2.2097065198730586,0.4302231527809375,0.43035496334346424,,,,,
naive,5,SAT_S,uniform,10000,6.833097945720076,2.061465641348113,0.49287164439448217,0.49333989319698035,,,,,
naive,2,SAT_S,SA,10000,10.784873704466483,2.6256566827340664,0.250211033355458,0.25055040802415507,,,,,
naive,3,SAT_S,SA,10000,9.000838533795223,2.353215049685896,0.3742412189403985,0.3742433172369771,,,,,
naive,4,SAT_S,SA,10000,7.035465035173764,2.117010276293878,0.5108784578161458,0.5113434011630018,,,,,
naive,5,SAT_S,SA,10000,5.95224995000917,1.9489133567859396,0.5861860359682182,0.5872436758379774,,,,,
naive,2,SAT_S,Tabu,10000,4.002514097455011,1.5836648301673075,0.1698507332755037,0.17025153048145825,,,,,
naive,3,SAT_S,Tabu,10000,3.7326472068875702,1.5154486676487058,0.22582300366931185,0.22622729160241228,,,,,
naive,4,SAT_S,Tabu,10000,3.389928975807737,1.443412969797634,0.29690514886523833,0.2970202593791903,,,,,
