kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,3,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,530.3902941003128,19.96662933930572,-0.08021168439396109,-2.220446049250313e-16,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,470.3633271398221,17.865679212975085,0.0157141593692538,0.0186588926297534,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,350.1718794952297,16.205809930809924,0.0318489183495374,0.04163075235635838,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,537.2275096755393,19.07587003133763,-0.352670345495945,-0.13068740670555568,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,439.76739039417487,16.92731884057971,-0.09517467412320979,-0.020298121888873366,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,493.8400692720597,17.627275024277218,0.020808278649920187,0.0313272235381018,
iai,3,,,,,SAT_S,ACO,10000,4.012788724616316,1.4543370765338741,0.4325674324185963,0.4366747332069314,0.25
iai,4,,,,,SAT_S,ACO,10000,3.545444495804806,1.3864363297654017,0.49865272967635865,0.49936741892203274,0.25
iai,5,,,,,SAT_S,ACO,10000,4.596839507396716,1.496437573138897,0.34997912338602966,0.3613244923641158,0.25
iai,3,,,,,SAT_M,ACO,10000,20.664497833899027,3.4726988585713396,0.5975838486604628,0.5994084782801916,0.25
iai,4,,,,,SAT_M,ACO,10000,20.664497833899027,3.4726988585713396,0.5975838486604628,0.5994084782801916,0.25
iai,5,,,,,SAT_M,ACO,10000,13.724076462890912,2.8368967473065556,0.7327401771251251,0.7345015419105676,0.25
iai,3,,,,,SAT_L,ACO,10000,61.89075829234065,6.048476995415761,0.6049507395773759,0.6123339324474952,0.25
iai,4,,,,,SAT_L,ACO,10000,40.39556246113972,4.780585717192861,0.7421547656719518,0.7482271917462774,0.25
iai,5,,,,,SAT_L,ACO,10000,25.058375607799878,3.779175461288306,0.8400521657127804,0.8431135986671521,0.25
iai,3,,,,,GC_S,ACO,10000,648.3827867857656,18.602410881551975,0.36557232371899673,0.36557325413179353,0.25
iai,4,,,,,GC_S,ACO,10000,661.8106109884021,18.40263394574033,0.3524335059095053,0.3528047735246328,0.25
iai,5,,,,,GC_S,ACO,10000,661.8106109884021,18.40263394574033,0.3524335059095053,0.3528047735246328,0.25
iai,3,,,,,GC_L,ACO,10000,103.77760377111315,8.088884730538918,0.3941894007831721,0.40647511760473376,0.25
iai,4,,,,,GC_L,ACO,10000,107.1755419846671,8.159511385199238,0.3743536471094313,0.374398917721687,0.25
iai,5,,,,,GC_L,ACO,10000,107.1755419846671,8.159511385199238,0.3743536471094313,0.374398917721687,0.25
iai,3,,,,,BT,ACO,10000,71.28981643052091,7.143334334526293,0.5769877365295173,0.5812402216758386,0.25
iai,4,,,,,BT,ACO,10000,63.00041258213802,6.592731945360971,0.6261745581584219,0.6261953262839987,0.25
iai,5,,,,,BT,ACO,10000,63.00041258213802,6.592731945360971,0.6261745581584219,0.6261953262839987,0.25
iai,3,,,,,SAT_S,BBO,10000,10.060835464912554,2.391079906306987,0.2239909975843285,0.2462118721809694,0.25
iai,4,,,,,SAT_S,BBO,10000,10.060835464912554,2.391079906306987,0.2239909975843285,0.2462118721809694,0.25
iai,5,,,,,SAT_S,BBO,10000,10.060835464912554,2.391079906306987,0.2239909975843285,0.2462118721809694,0.25
iai,3,,,,,SAT_M,BBO,10000,33.83053127834014,4.17425817425817,0.4529928979065567,0.4532161769551557,0.25
iai,4,,,,,SAT_M,BBO,10000,37.21180407913776,4.174672602707646,0.3983209738704163,0.4119990285245606,0.25
iai,5,,,,,SAT_M,BBO,10000,26.422079580236755,3.328121253415371,0.5727804253632527,0.5924221724027064,0.25
iai,3,,,,,SAT_L,BBO,10000,63.85113426244691,5.792669224987142,0.5628057866767957,0.5650387840355555,0.25
iai,4,,,,,SAT_L,BBO,10000,46.53923871157557,4.79928165148945,0.6813418259174967,0.6838584519200266,0.25
iai,5,,,,,SAT_L,BBO,10000,27.928226309060783,3.7113628251693616,0.808773030084081,0.8101418306343334,0.25
iai,3,,,,,GC_S,BBO,10000,644.7894791149221,18.394997912326218,0.7280261130101298,0.7280775920094378,0.25
iai,4,,,,,GC_S,BBO,10000,260.5493795156597,10.711480194168555,0.8900995909596056,0.8903519300630369,0.25
iai,5,,,,,GC_S,BBO,10000,271.91219099054695,9.35822303481782,0.8853067273908632,0.8855674218219042,0.25
